iter	Passed	Remaining
0	144	144702
1	145	72611
2	146	48619
3	147	36620
4	147	29410
5	148	24594
6	149	21150
7	149	18573
8	150	16568
9	151	14958
10	151	13646
11	152	12559
12	153	11646
13	154	10859
14	154	10170
15	155	9564
16	156	9031
17	156	8558
18	157	8131
19	158	7749
20	158	7409
21	159	7096
22	160	6807
23	160	6543
24	161	6301
25	162	6078
26	162	5868
27	163	5674
28	164	5494
29	164	5325
30	165	5170
31	166	5024
32	166	4884
33	167	4754
34	167	4630
35	168	4513
36	169	4403
37	169	4299
38	170	4200
39	171	4106
40	171	4016
41	172	3932
42	173	3852
43	173	3774
44	174	3699
45	174	3628
46	175	3560
47	176	3494
48	176	3432
49	177	3372
50	178	3315
51	178	3259
52	179	3205
53	180	3154
54	180	3104
55	181	3056
56	181	3009
57	182	2964
58	183	2920
59	183	2878
60	184	2839
61	185	2800
62	185	2762
63	186	2725
64	186	2689
65	187	2654
66	188	2622
67	188	2585
68	189	2554
69	190	2525
70	190	2496
71	191	2467
72	192	2439
73	192	2412
74	193	2386
75	194	2360
76	194	2334
77	195	2309
78	196	2285
79	196	2261
80	197	2238
81	198	2216
82	198	2194
83	199	2173
84	199	2150
85	200	2130
86	200	2108
87	201	2088
88	202	2069
89	202	2050
90	203	2033
91	204	2016
92	204	1998
93	205	1982
94	206	1966
95	207	1949
96	207	1933
97	208	1917
98	208	1901
99	209	1887
100	210	1872
101	210	1854
102	211	1840
103	211	1825
104	212	1811
105	213	1797
106	213	1784
107	214	1770
108	214	1757
109	215	1744
110	216	1731
111	216	1719
112	217	1706
113	218	1694
114	218	1683
115	219	1671
116	220	1660
117	220	1649
118	221	1637
119	221	1626
120	222	1617
121	223	1606
122	223	1594
123	224	1583
124	224	1573
125	225	1563
126	226	1553
127	226	1542
128	227	1533
129	227	1523
130	228	1514
131	229	1506
132	229	1498
133	230	1489
134	231	1480
135	231	1472
136	232	1463
137	232	1454
138	233	1446
139	234	1438
140	234	1430
141	235	1422
142	236	1414
143	236	1406
144	237	1399
145	238	1392
146	238	1384
147	239	1377
148	239	1370
149	240	1363
150	241	1357
151	242	1351
152	242	1344
153	243	1337
154	244	1331
155	244	1324
156	245	1318
157	246	1312
158	246	1306
159	247	1300
160	248	1294
161	248	1287
162	249	1281
163	250	1275
164	250	1269
165	251	1263
166	252	1257
167	252	1252
168	253	1246
169	254	1240
170	254	1235
171	255	1230
172	256	1224
173	256	1219
174	257	1213
175	258	1208
176	258	1203
177	259	1198
178	260	1193
179	260	1188
180	261	1182
181	261	1177
182	262	1171
183	263	1166
184	263	1162
185	264	1157
186	265	1152
187	265	1147
188	266	1142
189	267	1138
190	267	1134
191	268	1129
192	269	1125
193	269	1120
194	270	1116
195	271	1111
196	271	1107
197	272	1102
198	272	1098
199	273	1094
200	274	1090
201	274	1086
202	275	1082
203	276	1078
204	276	1074
205	277	1069
206	278	1065
207	278	1061
208	279	1058
209	280	1054
210	280	1050
211	281	1046
212	282	1042
213	282	1039
214	283	1035
215	284	1031
216	284	1027
217	285	1023
218	286	1020
219	286	1016
220	287	1012
221	287	1008
222	288	1005
223	289	1001
224	289	997
225	290	994
226	290	990
227	291	986
228	292	983
229	292	980
230	293	976
231	293	973
232	294	969
233	295	966
234	295	962
235	296	959
236	297	956
237	297	953
238	298	949
239	298	946
240	299	943
241	300	940
242	300	936
243	301	933
244	302	930
245	302	927
246	303	924
247	303	921
248	304	918
249	305	915
250	305	912
251	306	909
252	306	906
253	307	903
254	308	900
255	308	897
256	309	894
257	310	891
258	310	888
259	311	886
260	311	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	869
266	315	866
267	316	863
268	316	860
269	317	858
270	318	855
271	318	852
272	319	850
273	319	847
274	320	845
275	321	842
276	321	839
277	322	837
278	323	834
279	323	832
280	324	830
281	325	827
282	325	825
283	326	822
284	326	820
285	327	817
286	328	815
287	328	812
288	329	810
289	330	808
290	330	806
291	331	803
292	332	801
293	332	799
294	333	796
295	334	794
296	334	792
297	335	789
298	335	787
299	336	785
300	337	783
301	337	781
302	338	778
303	339	776
304	339	774
305	340	771
306	340	769
307	341	767
308	342	765
309	342	763
310	343	760
311	344	758
312	344	756
313	345	754
314	345	752
315	346	750
316	347	747
317	347	745
318	348	743
319	348	741
320	349	739
321	350	737
322	350	735
323	351	733
324	352	731
325	352	729
326	353	727
327	353	725
328	354	723
329	355	721
330	355	719
331	356	717
332	357	715
333	357	713
334	358	711
335	358	709
336	359	707
337	360	705
338	360	703
339	361	701
340	362	699
341	362	697
342	363	695
343	363	694
344	364	692
345	365	690
346	365	688
347	366	686
348	367	684
349	367	682
350	368	680
351	368	679
352	369	677
353	370	675
354	370	673
355	371	671
356	371	669
357	372	668
358	373	666
359	373	664
360	374	662
361	375	661
362	375	659
363	376	657
364	377	656
365	377	654
366	378	652
367	379	650
368	379	649
369	380	647
370	381	646
371	381	644
372	382	643
373	383	641
374	383	639
375	384	638
376	385	636
377	385	634
378	386	633
379	386	631
380	387	629
381	388	628
382	388	626
383	389	624
384	390	623
385	390	621
